,cena_mean,cena_mean,cena_mean,cena_m2_mean,cena_m2_mean,cena_m2_mean
Rychnov nad Kněžnou,2327162.7906976743,2457123.404255319,2415338.775510204,31696.20900827685,34099.49990351355,34127.10939715223
Semily,4997473.851851852,3999348.3285024157,3815770.444897959,56070.402017560285,63050.13784814333,61453.48742557225
Sokolov,1020227.1428571428,1048755.6666666667,1045299.3462783172,15702.561175866465,17130.920840934854,16825.55595594473
Strakonice,1771812.0,1882954.6268656717,1989371.5,25185.115202624675,33543.13864160262,34917.045404775614
Svitavy,1976927.394736842,1914441.6962025317,2046960.5761589403,28360.19671900389,29150.37196158963,28971.561252552256
Tachov,1676402.6530612244,1699166.6666666667,1688104.0358744394,24874.13475808373,26832.233311409753,28943.150792423785
Teplice,1218416.2235294117,1172117.9337349397,1154886.319148936,16244.265802691216,16280.721538204813,16021.48033892068
Trutnov,3968904.305785124,3815221.3832976446,3824278.8243243243,59650.38922817778,58355.466633779455,56449.46588301243
Tábor,2697231.4814814813,2562021.645021645,2401246.8085106383,34968.27804178285,35481.799502484166,33675.822671443835
Třebíč,2538565.217391304,2573112.9032258065,2550528.0,34615.57025800209,34127.47251599324,35499.19182172332
Uherské Hradiště,2863227.272727273,2926179.3103448274,2952541.6666666665,35373.50678973682,36625.5449249501,39564.90299548592
Vsetín,2528585.695652174,2391315.8606271776,2455854.768115942,38283.7694251857,38939.23904429065,39265.13168262492
Vyškov,3347032.7027027025,3339191.628498728,3309464.4487179485,47029.040756629074,48330.5525986385,48093.76629619196
Zlín,3502865.6263736263,3513987.5295508276,3598708.466666667,46062.08239675647,46954.443478567446,46890.28837523007
Znojmo,2886120.323076923,2893576.5208333335,2820955.6714697406,35823.800197278346,38125.56223957598,38194.462910013055
Ústí nad Labem,1514547.311827957,1497825.9714285715,1532431.5789473683,20332.110077933074,21979.459139091,21736.62011847427
Ústí nad Orlicí,2207192.156862745,1914790.231707317,1965452.312236287,29207.3809919284,27533.086861699623,29202.490421731138
Česká Lípa,2251375.0,1881553.8996282527,1930532.2483870967,24931.6621248006,28353.654947437863,27953.60281008923
České Budějovice,3783569.801932367,3598077.4823348694,3593725.2057971014,45248.45099636687,45974.56215656913,46185.26271395757
Český Krumlov,3740263.950617284,3495103.6175,3427858.737980769,42946.45516004,46057.930148452266,45291.072443026045
Šumperk,1936390.9090909092,2021931.2125,1954930.8104575162,27294.970732971717,29384.985075159067,29747.997074437022
Žďár nad Sázavou,2793494.4,2385935.743119266,2590324.769230769,39216.50305127048,39971.82802128292,41058.06304813712
